LAT,LON,Province
30.7378°N,112.2384°E,Hubei
19.5664°N,109.9497°E,Hainan
23.3790°N,113.7633°E,Guangdong
30.2638°N,102.8055°E,Sichuan
29.1416°N,119.7889°E,Zhejiang
24.4753°N,101.3431°E,Yunnan
35.8940°N,117.9249°E,Shandong
33.1402°N,119.7889°E,Jiangsu
26.4837°N,117.9249°E,Fujian
27.6253°N,111.8569°E,Hunan
34.2904°N,113.3824°E,Henan
37.8957°N,114.9042°E,Hebei
26.8430°N,107.2903°E,Guizhou
30.6007°N,117.9249°E,Anhui
27.0875°N,114.9042°E,Jiangxi
47.1216°N,128.7382°E,Heilongjiang
35.3940°N,109.1880°E,Shaanxi
41.9437°N,122.5290°E,Liaoning
37.2426°N,111.8569°E,Shanxi
35.7448°N,96.4077°E,Qinghai
35.7518°N,104.2861°E,Gansu
43.1520°N,126.4371°E,Jilin
31.2192°N,121.4456°E,Shanghai
40.2374°N,116.2305°E,Beijing
29.4316°N,106.9123°E,Chongqing
39.3434°N,117.3616°E,Tianjin
