DATE,DFII20
2015-05-01,0.54
2015-05-04,0.62
2015-05-05,0.62
2015-05-06,0.72
2015-05-07,0.65
2015-05-08,0.66
2015-05-11,0.77
2015-05-12,0.77
2015-05-13,0.81
2015-05-14,0.64
2015-05-15,0.70
2015-05-18,0.78
2015-05-19,0.81
2015-05-20,0.80
2015-05-21,0.76
2015-05-22,0.74
2015-05-25,.
2015-05-26,0.70
2015-05-27,0.71
2015-05-28,0.59
2015-05-29,0.70
2015-06-01,0.77
2015-06-02,0.84
2015-06-03,0.93
2015-06-04,0.87
2015-06-05,0.92
2015-06-08,0.92
2015-06-09,0.95
2015-06-10,1.02
2015-06-11,0.94
2015-06-12,0.93
2015-06-15,0.89
2015-06-16,0.82
2015-06-17,0.84
2015-06-18,0.89
2015-06-19,0.81
2015-06-22,0.88
2015-06-23,0.92
2015-06-24,0.88
2015-06-25,0.89
2015-06-26,0.97
2015-06-29,0.86
2015-06-30,0.88
2015-07-01,0.94
2015-07-02,0.91
2015-07-03,.
2015-07-06,0.83
2015-07-07,0.79
2015-07-08,0.78
2015-07-09,0.88
2015-07-10,0.96
2015-07-13,0.97
2015-07-14,0.96
2015-07-15,0.91
2015-07-16,0.90
2015-07-17,0.77
2015-07-20,0.92
2015-07-21,0.90
2015-07-22,0.88
2015-07-23,0.83
2015-07-24,0.84
2015-07-27,0.83
2015-07-28,0.85
2015-07-29,0.86
2015-07-30,0.84
2015-07-31,0.81
2015-08-03,0.78
2015-08-04,0.83
2015-08-05,0.89
2015-08-06,0.87
2015-08-07,0.82
2015-08-10,0.85
2015-08-11,0.80
2015-08-12,0.84
2015-08-13,0.87
2015-08-14,0.86
2015-08-17,0.86
2015-08-18,0.91
2015-08-19,0.85
2015-08-20,0.81
2015-08-21,0.82
2015-08-24,0.84
2015-08-25,0.92
2015-08-26,1.00
2015-08-27,0.94
2015-08-28,0.91
2015-08-31,0.93
2015-09-01,0.95
2015-09-02,1.00
2015-09-03,0.99
2015-09-04,0.96
2015-09-07,.
2015-09-08,1.02
2015-09-09,0.99
2015-09-10,0.98
2015-09-11,0.96
2015-09-14,0.97
2015-09-15,1.07
2015-09-16,1.10
2015-09-17,1.02
2015-09-18,0.95
2015-09-21,1.05
2015-09-22,1.01
2015-09-23,1.02
2015-09-24,1.01
2015-09-25,1.09
2015-09-28,1.06
2015-09-29,1.04
2015-09-30,1.05
2015-10-01,0.99
2015-10-02,0.93
2015-10-05,0.99
2015-10-06,0.97
2015-10-07,0.95
2015-10-08,0.98
2015-10-09,1.01
2015-10-12,.
2015-10-13,0.96
2015-10-14,0.93
2015-10-15,0.98
2015-10-16,1.00
2015-10-19,1.01
2015-10-20,1.01
2015-10-21,1.00
2015-10-22,0.97
2015-10-23,0.96
2015-10-26,0.96
2015-10-27,0.95
2015-10-28,0.98
2015-10-29,1.02
2015-10-30,0.98
2015-11-02,0.99
2015-11-03,1.01
2015-11-04,1.02
2015-11-05,1.05
2015-11-06,1.09
2015-11-09,1.10
2015-11-10,1.11
2015-11-11,.
2015-11-12,1.11
2015-11-13,1.09
2015-11-16,1.11
2015-11-17,1.06
2015-11-18,1.05
2015-11-19,1.01
2015-11-20,1.00
2015-11-23,0.98
2015-11-24,0.97
2015-11-25,0.97
2015-11-26,.
2015-11-27,0.97
2015-11-30,0.96
2015-12-01,0.92
2015-12-02,0.95
2015-12-03,1.06
2015-12-04,1.00
2015-12-07,0.99
2015-12-08,1.00
2015-12-09,1.02
2015-12-10,1.05
2015-12-11,1.00
2015-12-14,1.11
2015-12-15,1.15
2015-12-16,1.20
2015-12-17,1.08
2015-12-18,1.07
2015-12-21,1.09
2015-12-22,1.10
2015-12-23,1.09
2015-12-24,1.05
2015-12-25,.
2015-12-28,1.05
2015-12-29,1.11
2015-12-30,1.10
2015-12-31,1.07
2016-01-01,.
2016-01-04,1.04
2016-01-05,1.05
2016-01-06,1.00
2016-01-07,1.03
2016-01-08,1.03
2016-01-11,1.11
2016-01-12,1.07
2016-01-13,1.04
2016-01-14,1.07
2016-01-15,1.05
2016-01-18,.
2016-01-19,1.07
2016-01-20,1.07
2016-01-21,1.11
2016-01-22,1.10
2016-01-25,1.07
2016-01-26,1.03
2016-01-27,1.01
2016-01-28,0.99
2016-01-29,0.95
2016-02-01,0.97
2016-02-02,0.91
2016-02-03,0.90
2016-02-04,0.91
2016-02-05,0.91
2016-02-08,0.88
2016-02-09,0.89
2016-02-10,0.85
2016-02-11,0.81
2016-02-12,0.87
2016-02-15,.
2016-02-16,0.92
2016-02-17,0.93
2016-02-18,0.87
2016-02-19,0.86
2016-02-22,0.83
2016-02-23,0.80
2016-02-24,0.78
2016-02-25,0.72
2016-02-26,0.75
2016-02-29,0.72
2016-03-01,0.75
2016-03-02,0.73
2016-03-03,0.70
2016-03-04,0.76
2016-03-07,0.81
2016-03-08,0.75
2016-03-09,0.79
2016-03-10,0.82
2016-03-11,0.83
2016-03-14,0.83
2016-03-15,0.85
2016-03-16,0.78
2016-03-17,0.74
2016-03-18,0.68
2016-03-21,0.68
2016-03-22,0.70
2016-03-23,0.67
2016-03-24,0.71
2016-03-25,.
2016-03-28,0.70
2016-03-29,0.59
2016-03-30,0.60
2016-03-31,0.57
2016-04-01,0.58
2016-04-04,0.55
2016-04-05,0.54
2016-04-06,0.57
2016-04-07,0.53
2016-04-08,0.55
2016-04-11,0.59
2016-04-12,0.63
2016-04-13,0.62
2016-04-14,0.64
2016-04-15,0.60
2016-04-18,0.59
2016-04-19,0.58
2016-04-20,0.64
2016-04-21,0.66
2016-04-22,0.67
