,under 10
0,ABEO
1,ACER
2,ACOR
3,ACRS
4,ACRX
5,ACTG
6,ADMA
7,ADMS
8,ADRO
9,AFI
10,AFMD
11,AGE
12,AGEN
13,AHT
14,AI
15,AKTS
16,ALDX
17,AMC
18,AMRS
19,AMRX
20,AMSC
21,ANH
22,APYX
23,ARA
24,ARAY
25,ARDX
26,ARLO
27,AROC
28,ASC
29,ASNA
30,ASRT
31,AT
32,ATEC
33,ATEN
34,ATHX
35,ATRS
36,AVCO
37,AVID
38,AVXL
39,AXAS
40,AXLA
41,AXTI
42,BBCP
43,BBX
44,BCOV
45,BCRX
46,BDSI
47,BGG
48,BHR
49,BKD
50,BNED
51,BRY
52,CALA
53,CASA
54,CASI
55,CBAY
56,CBL
57,CCO
58,CDE
59,CDMO
60,CDR
61,CDXC
62,CECE
63,CENX
64,CERC
65,CERS
66,CETV
67,CFMS
68,CHAP
69,CHMA
70,CHRA
71,CHS
72,CIA
73,CKPT
74,CLF
75,CLNE
76,CLXT
77,CMO
78,CMRX
79,CNDT
80,CNR
81,CNSL
82,CNTY
83,CODA
84,CPE
85,CPRX
86,CRBP
87,CRK
88,CRMD
89,CSLT
90,CTRA
91,CVGI
92,CYCN
93,CYH
94,DHT
95,DHX
96,DLTH
97,DNR
98,DS
99,DSKE
100,DVAX
101,ECOR
102,EGLE
103,EIGI
104,ELOX
105,ELVT
106,ENDP
107,ENOB
108,ENZ
109,EPM
110,EROS
111,ESTE
112,ESXB
113,ETM
114,EVC
115,EVFM
116,EVLO
117,EXPR
118,EXTN
119,EXTR
120,EYPT
121,EZPW
122,FET
123,FI
124,FIT
125,FLDM
126,FLMN
127,FLNT
128,FNCB
129,FOSL
130,FPI
131,FPRX
132,FRBK
133,FSP
134,FTK
135,GALT
136,GCAP
137,GCI
138,GDP
139,GEN
140,GERN
141,GLOG
142,GLYC
143,GME
144,GNE
145,GNLN
146,GNW
147,GOGO
148,GORO
149,GPOR
150,GPRO
151,GSIT
152,GTYH
153,HL
154,HLIT
155,HLX
156,HMHC
157,HNRG
158,HOME
159,HPR
160,IDEX
161,IDT
162,III
163,IMGN
164,IMMR
165,INFN
166,INSE
167,INWK
168,IPI
169,ITI
170,IVC
171,JILL
172,JNCE
173,KDMN
174,KLDO
175,KLXE
176,KZR
177,LCTX
178,LCUT
179,LEAF
180,LEE
181,LIVX
182,LJPC
183,LLNW
184,LQDT
185,LTRPA
186,LXRX
187,LXU
188,MBI
189,MBII
190,MBIO
191,MCHX
192,MCRB
193,MDCA
194,MDRX
195,MEC
196,MEET
197,MEIP
198,MESA
199,METC
200,MFIN
201,MIK
202,MJCO
203,MLND
204,MNK
205,MNKD
206,MNLO
207,MNOV
208,MOBL
209,MOD
210,MR
211,MRKR
212,MRNS
213,NAT
214,NBEV
215,NCMI
216,NCSM
217,NDLS
218,NE
219,NESR
220,NEXT
221,NL
222,NNBR
223,NOG
224,NPTN
225,NR
226,NYMT
227,OAS
228,OCN
229,OCUL
230,OCX
231,OMI
232,ONDK
233,OPK
234,OPTN
235,ORBC
236,ORC
237,ORGO
238,OSG
239,OSMT
240,PACB
241,PACD
242,PBI
243,PBPB
244,PDLI
245,PEI
246,PHAS
247,PHUN
248,PIRS
249,PLUG
250,PMBC
251,PRGX
252,PRTH
253,PRTK
254,PRTY
255,PTE
256,PTN
257,PZN
258,QEP
259,QUAD
260,RBBN
261,REI
262,RES
263,RIGL
264,RLGT
265,RLH
266,RMNI
267,RMTI
268,RNET
269,ROSE
270,RRD
271,RTIX
272,RUBY
273,RVSB
274,RYAM
275,SB
276,SBBP
277,SBT
278,SCOR
279,SD
280,SENS
281,SIC
282,SIEB
283,SIEN
284,SIGA
285,SLCA
286,SLDB
287,SNCR
288,SND
289,SNR
290,SONM
291,SPPI
292,SRNE
293,SRT
294,STIM
295,SVRA
296,SWN
297,SXC
298,SYBX
299,TACO
300,TAST
301,TCS
302,TELL
303,TEUM
304,TH
305,TIPT
306,TK
307,TLRD
308,TMST
309,TNAV
310,TORC
311,TREC
312,TRST
313,True
314,TRXC
315,TTI
316,TUP
317,TUSK
318,TWI
319,TXMD
320,TYME
321,UBX
322,UEC
323,USWS
324,USX
325,UUUU
326,VBIV
327,VHC
328,VKTX
329,VRAY
330,WATT
331,WETF
332,WLL
333,WNEB
334,WOW
335,WPG
336,WTI
337,WTRH
338,XELA
339,XERS
340,XXII
341,YCBD
342,YRCW
343,ZIOP
344,ZIXI
345,ZYNE
