dates,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of Week,Days to Roll,Day in Cycle,Daily Decay,VXXGREG,UX1 % returns,UX2 % returns,UX3 % returns,UX4 % returns,UVXY % returns,SPY % returns,VXXBEN % returns,VIX % returns,regression Slope,Inverse Slope,target
2006-10-23,8377069004.78,137.47,1.9099999999999997,11.08,11.95,13.16,14.08,14.6,2,17,,,4.5956678700361016,,,,,,,,,,,1
2006-10-24,8377069004.78,137.88,2.0250000000000004,10.78,11.78,12.83,14.03,14.47,3,16,,,4.96753246753247,-0.014225941422594146,-0.025075987841945317,-0.003551136363636465,-0.008904109589040976,0.0,0.002982468902305913,0.06020942408377027,-0.027075812274368283,0.9630000000000004,,0
2006-10-25,7968985896.12,138.35,1.7599999999999998,10.66,11.49,12.52,13.79,14.52,4,15,,,5.043151969981238,-0.024617996604414216,-0.02416212003117701,-0.017106200997861754,0.003455425017277136,-0.048714306689743865,0.0034087612416593416,-0.13086419753086442,-0.011131725417439677,1.0019999999999998,-1.0019999999999998,0
2006-10-26,7618653476.53,138.78,1.5149999999999997,10.56,11.25,12.21,13.46,14.18,5,14,,,4.707386363636363,-0.02088772845953002,-0.02476038338658137,-0.02393038433647554,-0.023415977961432462,-0.04396198263577966,0.003108059269967489,-0.13920454545454553,-0.009380863039399556,0.945,-0.945,0
2006-10-27,7695086614.79,137.91,1.239999999999999,10.8,11.31,12.26,13.46,14.24,6,13,,,4.272222222222221,0.005333333333333412,0.0040950040950040725,0.0,0.0042313117066290476,0.010032368383134926,-0.006268914829226091,-0.18151815181518186,0.02272727272727271,0.903,-0.903,1
2006-10-30,7754189613.37,137.81,0.7000000000000011,11.2,11.35,12.3,13.4,14.09,2,12,,,3.321428571428573,0.0035366931918654476,0.0032626427406199365,-0.004457652303120341,-0.010533707865168608,0.007680615116976597,-0.0007251105793633084,-0.4354838709677408,0.03703703703703698,0.7830000000000001,-0.7830000000000001,1
2006-10-31,7644418167.79,137.79,0.7400000000000011,11.1,11.31,12.16,13.23,13.99,3,11,,,3.3495495495495518,-0.0035242290748898064,-0.011382113821138296,-0.012686567164179152,-0.00709723207948898,-0.014156404608771544,-0.00014512734924898574,0.05714285714285716,-0.008928571428571397,0.7700000000000001,-0.7700000000000001,0
2006-11-01,7978770758.57,136.86,0.5000000000000009,11.51,11.55,12.43,13.22,13.94,4,10,,,2.662033014769766,0.02122015915119357,0.022203947368421014,-0.0007558578987150177,-0.0035739814152967453,0.04373813460242215,-0.006749401262790999,-0.3243243243243241,0.036936936936937004,0.6529999999999999,-0.6529999999999999,1
2006-11-02,8084420865.73,136.78,0.7650000000000006,11.42,11.65,12.49,13.2,13.86,5,9,,,2.8099824868651493,0.008658008658008587,0.00482703137570395,-0.0015128593040848461,-0.005738880918220946,0.013241401508687469,-0.0005845389449072869,0.5299999999999985,-0.007819287576020795,0.6429999999999998,-0.6429999999999998,0
2006-11-03,7974922392.39,136.54,0.9849999999999994,11.16,11.5,12.45,13.13,13.9,6,8,,,3.2768817204301075,-0.012875536480686732,-0.003202562049639757,-0.005303030303030143,0.0028860028860029363,-0.013544380625230112,-0.0017546424915924064,0.28758169934640354,-0.022767075306479808,0.7110000000000001,-0.7110000000000001,0
2006-11-06,7438618585.07,138.08,0.3899999999999988,11.16,11.12,12.02,12.91,13.76,2,7,,,2.8602150537634397,-0.03304347826086962,-0.0345381526104418,-0.016755521706016796,-0.010071942446043258,-0.06724878073193086,0.01127874615497304,-0.6040609137055848,0.0,0.6990000000000001,-0.6990000000000001,1
2006-11-07,7490058546.9,138.61,0.5700000000000003,11.09,11.18,12.05,12.84,13.67,3,6,,,2.9341749323715063,0.005395683453237377,0.0024958402662229595,-0.005422153369481042,-0.006540697674418561,0.006915257348083959,0.003838354577056835,0.4615384615384668,-0.006272401433691789,0.682,-0.682,0
2006-11-08,7219939517.5,138.91,0.7199999999999998,10.75,10.92,11.85,12.81,13.39,4,5,,,3.209302325581396,-0.023255813953488302,-0.01659751037344404,-0.0023364485981307577,-0.02048280907095823,-0.036063673963109055,0.0021643460067815035,0.26315789473684115,-0.03065825067628492,0.7170000000000002,-0.7170000000000002,0
2006-11-09,7259079376.97,138.18,0.41000000000000014,11.01,10.99,11.87,12.78,13.31,5,4,,,2.637602179836513,0.006410256410256388,0.0016877637130801038,-0.0023419203747073736,-0.005974607916355512,0.005421078580385874,-0.005255201209416138,-0.4305555555555552,0.024186046511627923,0.639,-0.639,1
2006-11-10,7376737046.92,138.24,0.7900000000000009,10.79,11.0,11.95,12.7,13.16,6,3,,,2.9508804448563497,0.0009099181073704,0.006739679865206405,-0.006259780907668211,-0.01126972201352372,0.016208345967847926,0.00043421623968731277,0.9268292682926844,-0.019981834695731227,0.6440000000000001,-0.6440000000000001,0
2006-11-13,7322021341.75,138.58,0.28500000000000103,10.86,10.59,11.97,12.68,13.17,1,2,,,2.6694290976058945,-0.037272727272727235,0.001673640167364043,-0.0015748031496062296,0.0007598784194529085,-0.007417331649749559,0.0024594907407407,-0.6392405063291131,0.006487488415199305,0.6709999999999999,-0.6709999999999999,1
2006-11-14,7010889414.04,139.62,0.3600000000000003,10.5,10.25,11.72,12.54,13.06,2,1,,,3.0800000000000014,-0.032105760151085905,-0.020885547201336733,-0.01104100946372244,-0.008352315869400107,-0.042492627812477535,0.007504690431519689,0.2631578947368387,-0.03314917127071815,0.741,-0.741,0
2006-11-15,6893193868.51,140.02,2.3299999999999983,10.31,11.62,12.35,12.93,13.54,3,24,24.0,0.005294212738441636,4.7429679922405406,0.13365853658536575,0.05375426621160395,0.031100478468899517,0.036753445635528285,-0.016787534159974467,0.0028649190660363644,5.472222222222212,-0.018095238095238053,0.7769999999999998,-0.7769999999999998,0
2006-11-16,6846782395.01,140.38,2.4849999999999994,10.16,11.58,12.29,12.9,13.38,4,23,24.0,0.006022018909568122,4.896653543307087,-0.0034423407917383297,-0.004858299595141724,-0.002320185614849146,-0.011816838995568513,-0.006732941853270669,0.0025710612769602736,0.06652360515021516,-0.014548981571290032,0.7760000000000001,-0.7760000000000001,0
2006-11-17,6948684107.2,140.42,2.754999999999999,10.05,11.67,12.32,12.94,13.44,5,22,24.0,0.007154151722010102,5.270646766169153,0.0077720207253886295,0.002441008950366141,0.0031007751937983663,0.004484304932735439,0.014883153328235862,0.0002849408747684912,0.1086519114688127,-0.010826771653543288,0.8049999999999997,-0.8049999999999997,0
2006-11-20,6712020105.58,140.5,2.6549999999999985,9.97,11.43,12.36,13.09,13.43,1,21,24.0,0.006815088121507374,5.4012036108324954,-0.020565552699228773,0.003246753246753276,0.011591962905718622,-0.0007440476190475609,-0.03405882293235585,0.0005697194131890626,-0.03629764065335772,-0.007960199004975133,0.8579999999999999,-0.8579999999999999,0
2006-11-21,6804641095.93,140.64,2.89,9.9,11.5,12.48,13.31,13.5,2,20,24.0,0.007793380964112671,5.753535353535353,0.006124234470691103,0.009708737864077666,0.016806722689075567,0.005212211466865346,0.01379927188731167,0.000996441281138738,0.08851224105461443,-0.007021063189568744,0.9009999999999999,-0.9009999999999999,0
2006-11-22,6934427078.43,140.92,2.6949999999999985,10.14,11.61,12.59,13.5,13.73,3,19,24.0,0.007298857659434576,5.507889546351083,0.009565217391304335,0.008814102564102422,0.014274981217129891,0.017037037037036958,0.01907315619888128,0.0019908987485779406,-0.06747404844290694,0.024242424242424176,0.907,-0.907,1
2006-11-24,7099115629.58,140.35,1.9999999999999984,10.73,11.7,12.79,13.75,14.1,5,18,24.0,0.004997371376681716,4.641192917054983,0.007751937984496138,0.015885623510722757,0.0185185185185186,0.02694828841951935,0.02374940990615859,-0.004044848140789092,-0.25788497217068673,0.058185404339250464,0.8789999999999999,-0.8789999999999999,1
2006-11-27,7920676014.48,138.42,0.7050000000000001,12.3,12.46,13.39,13.98,14.32,1,17,24.0,0.0012221865639709029,2.233333333333333,0.06495726495726517,0.04691164972634887,0.016727272727272702,0.01560283687943276,0.1157271451498536,-0.013751335945849765,-0.6474999999999996,0.146318732525629,0.5559999999999998,-0.5559999999999998,1
