Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2006-10-23,8377069004.78,137.47,1.9099999999999997,11.08,11.95,13.16,14.08,14.6,2,17,,,,,,,,
2006-10-24,8377069004.78,137.88,2.0250000000000004,10.78,11.78,12.83,14.03,14.47,3,16,0.0,0.0029824689023059126,0.06020942408377006,-0.027075812274368283,-0.014225941422594146,-0.025075987841945313,-0.0035511363636364646,-0.008904109589040976
2006-10-25,7968985896.12,138.35,1.7599999999999998,10.66,11.49,12.52,13.79,14.52,4,15,-0.04871430668974386,0.0034087612416593416,-0.13086419753086442,-0.011131725417439675,-0.024617996604414216,-0.024162120031177015,-0.017106200997861754,0.003455425017277136
2006-10-26,7618653476.53,138.78,1.5149999999999997,10.56,11.25,12.21,13.46,14.18,5,14,-0.04396198263577966,0.003108059269967489,-0.13920454545454553,-0.009380863039399556,-0.02088772845953002,-0.024760383386581375,-0.02393038433647554,-0.023415977961432466
2006-10-27,7695086614.79,137.91,1.239999999999999,10.8,11.31,12.26,13.46,14.24,6,13,0.010032368383134926,-0.006268914829226091,-0.18151815181518194,0.022727272727272707,0.005333333333333412,0.004095004095004073,0.0,0.004231311706629048
2006-10-30,7754189613.37,137.81,0.7000000000000011,11.2,11.35,12.3,13.4,14.09,2,12,0.007680615116976597,-0.0007251105793633084,-0.43548387096774066,0.03703703703703698,0.0035366931918654476,0.0032626427406199365,-0.004457652303120341,-0.010533707865168607
2006-10-31,7644418167.79,137.79,0.7400000000000011,11.1,11.31,12.16,13.23,13.99,3,11,-0.014156404608771544,-0.00014512734924898574,0.05714285714285716,-0.008928571428571397,-0.0035242290748898064,-0.011382113821138296,-0.012686567164179152,-0.00709723207948898
2006-11-01,7978770758.57,136.86,0.5000000000000009,11.51,11.55,12.43,13.22,13.94,4,10,0.04373813460242215,-0.006749401262790999,-0.3243243243243241,0.036936936936937004,0.021220159151193574,0.022203947368421018,-0.0007558578987150177,-0.0035739814152967453
2006-11-02,8084420865.73,136.78,0.7650000000000006,11.42,11.65,12.49,13.2,13.86,5,9,0.013241401508687467,-0.0005845389449072869,0.5299999999999985,-0.007819287576020795,0.008658008658008587,0.00482703137570395,-0.001512859304084846,-0.0057388809182209455
2006-11-03,7974922392.39,136.54,0.9849999999999994,11.16,11.5,12.45,13.13,13.9,6,8,-0.013544380625230112,-0.0017546424915924064,0.28758169934640354,-0.02276707530647981,-0.012875536480686733,-0.0032025620496397567,-0.005303030303030143,0.0028860028860029363
2006-11-06,7438618585.07,138.08,0.3899999999999988,11.16,11.12,12.02,12.91,13.76,2,7,-0.06724878073193086,0.01127874615497304,-0.6040609137055848,0.0,-0.03304347826086962,-0.0345381526104418,-0.016755521706016796,-0.010071942446043258
2006-11-07,7490058546.9,138.61,0.5700000000000003,11.09,11.18,12.05,12.84,13.67,3,6,0.0069152573480839585,0.003838354577056835,0.4615384615384668,-0.006272401433691788,0.0053956834532373765,0.0024958402662229595,-0.005422153369481042,-0.006540697674418561
2006-11-08,7219939517.5,138.91,0.7199999999999998,10.75,10.92,11.85,12.81,13.39,4,5,-0.036063673963109055,0.0021643460067815035,0.26315789473684115,-0.030658250676284915,-0.023255813953488302,-0.016597510373444035,-0.002336448598130758,-0.02048280907095823
2006-11-09,7259079376.97,138.18,0.41000000000000014,11.01,10.99,11.87,12.78,13.31,5,4,0.005421078580385874,-0.005255201209416138,-0.43055555555555514,0.024186046511627923,0.0064102564102563875,0.0016877637130801038,-0.0023419203747073736,-0.005974607916355512
