Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Trey Adams,OL,Washington,College Stats,8-Jun,318,5.6,24.5,,92,,,
Hakeem Adeniji,OL,Kansas,College Stats,4-Jun,302,5.17,34,26,115,,,
McTelvin Agim,DL,Arkansas,College Stats,3-Jun,309,4.98,,27,,,,
Salvon Ahmed,RB,Washington,College Stats,11-May,197,4.62,34.5,,120,,,
Brandon Aiyuk,WR,Arizona State,College Stats,Jun-00,205,4.5,40,11,128,,,
Cam Akers,RB,Florida St.,College Stats,10-May,217,4.47,35.5,20,122,,4.42,
Bradlee Anae,DL,Utah,College Stats,3-Jun,257,4.93,31,25,115,7.44,4.43,
Tremayne Anchrum,OL,Clemson,College Stats,2-Jun,314,5.21,24.5,26,104,,,
Jet Anderson,RB,TCU,College Stats,10-May,208,4.61,36,19,128,,4.19,
Damon Arnette,CB,Ohio St.,College Stats,Jun-00,195,4.56,,,,,,
Grayland Arnold,CB,Baylor,College Stats,9-May,186,4.59,33,12,120,7.01,4.3,
Devin Asiasi,TE,UCLA,College Stats,3-Jun,257,4.73,30.5,16,115,,,
Joe Bachie,LB,Michigan St.,College Stats,1-Jun,230,4.67,33.5,26,119,6.93,4.34,
Markus Bailey,LB,Purdue,College Stats,Jun-00,235,,,15,,,,
Trajan Bandy,CB,Miami,College Stats,8-May,180,4.5,,10,,,,
Ben Bartch,OL,St. Johns (MN),,6-Jun,309,,,,,,,
Tyler Bass,K,Georgia Southern,College Stats,10-May,185,,,,,,,
Essang Bassey,CB,Wake Forest,College Stats,9-May,191,4.46,39.5,12,128,6.95,4.13,
Zack Baun,LB,Wisconsin,College Stats,2-Jun,238,4.65,32.5,24,115,7,4.31,
Omar Bayless,WR,Arkansas State,College Stats,1-Jun,212,4.62,36,11,123,7.35,4.5,
Mekhi Becton,OL,Louisville,College Stats,7-Jun,364,5.1,,23,,,,
LeVante Bellamy,RB,Western Michigan,College Stats,9-May,192,4.5,39.5,16,125,,,
Eno Benjamin,RB,Arizona State,College Stats,9-May,207,4.57,39,12,122,6.97,4.25,
Francis Bernard,LB,Utah,College Stats,Jun-00,234,4.81,32.5,19,120,,,
Tyler Biadasz,OL,Wisconsin,College Stats,4-Jun,314,,,,,,,
Daniel Bituli,LB,Tennessee,College Stats,2-Jun,246,4.84,32,16,121,,,
Ross Blacklock,DL,TCU,College Stats,3-Jun,290,4.9,29,,107,7.77,4.67,
Julian Blackmon,S,Utah,College Stats,Jun-00,187,,,,,,,
Rodrigo Blankenship,K,Georgia,College Stats,1-Jun,190,,,,,,,
Lynn Bowden,WR,Kentucky,College Stats,11-May,204,,,13,,,,
Shaun Bradley,LB,Temple,College Stats,1-Jun,235,4.51,32.5,14,121,7.07,4.24,
Ben Bredeson,OL,Michigan,College Stats,5-Jun,315,,,,,,,
Jacob Breeland,TE,Oregon,College Stats,5-Jun,252,,,,,,,
Jordyn Brooks,LB,Texas Tech,College Stats,Jun-00,240,4.54,,,,,,
Cameron Brown,LB,Penn St.,College Stats,5-Jun,233,4.72,35.5,16,123,,,
Derrick Brown,DL,Auburn,College Stats,5-Jun,326,5.16,27,28,108,8.22,4.79,
Tony Brown,WR,Colorado,College Stats,1-Jun,198,4.65,33.5,14,119,7.21,4.27,
Harrison Bryant,TE,Florida Atlantic,College Stats,5-Jun,243,4.73,32.5,13,110,7.41,4.37,
Hunter Bryant,TE,Washington,College Stats,2-Jun,248,4.74,32.5,23,115,7.08,4.46,
Kelly Bryant,QB,Missouri,College Stats,3-Jun,229,4.69,35,,125,7.33,4.51,
Myles Bryant,CB,Washington,College Stats,8-May,183,4.62,31.5,,115,6.81,4.02,
Terrell Burgess,S,Utah,College Stats,11-May,202,4.46,33.5,20,122,,,
Joe Burrow,QB,LSU,College Stats,3-Jun,221,,,,,,,
Cohl Cabral,OL,Arizona State,College Stats,5-Jun,300,,,20,,,,
Lawrence Cager,WR,Georgia,College Stats,5-Jun,220,,,,,,,
Raymond Calais,RB,Louisiana-Lafayette,College Stats,8-May,188,4.42,37.5,20,120,,,
Marquez Callaway,WR,Tennessee,College Stats,1-Jun,205,4.55,38,,126,,,
Shyheim Carter,S,Alabama,College Stats,10-May,194,,,,,,,
Quintez Cephus,WR,Wisconsin,College Stats,1-Jun,202,4.73,38.5,23,124,7.2,4.33,
K'Lavon Chaisson,LB,LSU,College Stats,3-Jun,254,,,,,,,
Saahdiq Charles,OL,LSU,College Stats,4-Jun,321,5.05,,,,,,
Joseph Charlton,P,South Carolina,College Stats,4-Jun,195,,,,,,,
Jeremy Chinn,S,Southern Illinois,,3-Jun,221,4.45,41,20,138,,,
Cameron Clark,OL,Charlotte,College Stats,4-Jun,308,5.29,25,26,101,,,
Nevelle Clarke,CB,UCF,College Stats,1-Jun,190,,35,10,126,6.88,4.31,
Chase Claypool,WR,Notre Dame,College Stats,4-Jun,238,4.42,40.5,19,126,,,
Rodney Clemons,S,SMU,College Stats,Jun-00,209,4.71,33.5,21,118,,,
Ezra Cleveland,OL,Boise St.,College Stats,6-Jun,311,4.93,30,30,111,7.26,4.46,
Tyrie Cleveland,WR,Florida,College Stats,2-Jun,209,4.46,39.5,13,126,,,
Josiah Coatney,DL,Mississippi,College Stats,3-Jun,308,5.21,27,22,99,8.07,4.82,
Nick Coe,LB,Auburn,College Stats,5-Jun,280,4.89,29,21,116,,,
Kendall Coleman,DL,Syracuse,College Stats,3-Jun,257,4.95,32,,114,7.5,4.62,
Trystan Colon-Castillo,OL,Missouri,College Stats,3-Jun,313,,,11,,,,
Carter Coughlin,LB,Minnesota,College Stats,3-Jun,236,4.57,36,,126,,,
Isaiah Coulter,WR,Rhode Island,,2-Jun,198,4.45,36,,121,7.28,4.62,
Kamren Curl,S,Arkansas,College Stats,1-Jun,206,4.6,34.5,24,125,,,
Lloyd Cushenberry,OL,LSU,College Stats,3-Jun,312,5.27,,25,,,,
